genotype,pop,timepoint,replicate,control_ave,n_adults,productivity_normalised
mX,3,2,10,13.785714285714285,7,0.5077720207253886
mX,3,2,11,13.785714285714285,3,0.21761658031088085
mX,3,2,12,13.785714285714285,1,0.07253886010362695
mX,3,2,13,13.785714285714285,9,0.6528497409326426
mX,3,2,14,13.785714285714285,0,0
mX,3,2,15,13.785714285714285,8,0.5803108808290156
mX,3,2,16,13.785714285714285,3,0.21761658031088085
mX,3,2,17,13.785714285714285,10,0.7253886010362695
mX,3,2,18,13.785714285714285,1,0.07253886010362695
mX,3,2,19,13.785714285714285,0,0
mX,3,2,20,13.785714285714285,29,2.1036269430051817
mX,3,2,21,13.785714285714285,17,1.2331606217616582
mX,3,2,22,13.785714285714285,45,3.2642487046632125
mX,3,2,23,13.785714285714285,13,0.9430051813471503
mX,3,2,24,13.785714285714285,31,2.2487046632124352
mX,3,2,25,13.785714285714285,19,1.378238341968912
mX,3,2,26,13.785714285714285,7,0.5077720207253886
mX,3,2,27,13.785714285714285,26,1.8860103626943006
mX,3,2,28,13.785714285714285,NA,NA
mX,3,2,29,13.785714285714285,NA,NA
mX,3,2,30,13.785714285714285,NA,NA
mX,3,3,1,8.915492957746478,3,0.3364928909952607
mX,3,3,2,8.915492957746478,4,0.44865718799368093
mX,3,3,3,8.915492957746478,14,1.5703001579778832
mX,3,3,4,8.915492957746478,11,1.2338072669826226
mX,3,3,5,8.915492957746478,1,0.11216429699842023
mX,3,3,6,8.915492957746478,9,1.009478672985782
mX,3,3,7,8.915492957746478,0,0
mX,3,3,8,8.915492957746478,7,0.7851500789889416
mX,3,3,9,8.915492957746478,9,1.009478672985782
mX,3,3,10,8.915492957746478,10,1.1216429699842023
mX,3,3,11,8.915492957746478,15,1.6824644549763035
mX,3,3,12,8.915492957746478,7,0.7851500789889416
mX,3,3,13,8.915492957746478,29,3.2527646129541865
mX,3,3,14,8.915492957746478,16,1.7946287519747237
mX,3,3,15,8.915492957746478,11,1.2338072669826226
mX,3,3,16,8.915492957746478,13,1.458135860979463
mX,3,3,17,8.915492957746478,9,1.009478672985782
mX,3,3,18,8.915492957746478,12,1.3459715639810428
mX,3,3,19,8.915492957746478,17,1.906793048973144
mX,3,3,20,8.915492957746478,13,1.458135860979463
mX,3,3,21,8.915492957746478,17,1.906793048973144
mX,3,3,22,8.915492957746478,12,1.3459715639810428
mX,3,3,23,8.915492957746478,13,1.458135860979463
mX,3,3,24,8.915492957746478,12,1.3459715639810428
mX,3,3,25,8.915492957746478,6,0.6729857819905214
mX,3,3,26,8.915492957746478,5,0.5608214849921012
mX,3,3,27,8.915492957746478,18,2.018957345971564
mX,3,3,28,8.915492957746478,NA,NA
mX,3,3,29,8.915492957746478,NA,NA
mX,3,3,30,8.915492957746478,NA,NA
mX,3,4,1,31.688888888888894,54,1.7040673211781203
mX,3,4,2,31.688888888888894,48,1.5147265077138847
mX,3,4,3,31.688888888888894,57,1.7987377279102381
mX,3,4,4,31.688888888888894,2,0.06311360448807853
mX,3,4,5,31.688888888888894,50,1.5778401122019634
mX,3,4,6,31.688888888888894,45,1.420056100981767
mX,3,4,7,31.688888888888894,56,1.767180925666199
mX,3,4,8,31.688888888888894,30,0.946704067321178
mX,3,4,9,31.688888888888894,44,1.3884992987377278
mX,3,4,10,31.688888888888894,53,1.6725105189340812
mX,3,4,11,31.688888888888894,50,1.5778401122019634
mX,3,4,12,31.688888888888894,51,1.6093969144460025
mX,3,4,13,31.688888888888894,38,1.199158485273492
mX,3,4,14,31.688888888888894,9,0.2840112201963534
mX,3,4,15,31.688888888888894,36,1.1360448807854135
mX,3,4,16,31.688888888888894,0,0
mX,3,4,17,31.688888888888894,39,1.2307152875175313
mX,3,4,18,31.688888888888894,33,1.0413744740532958
mX,3,4,19,31.688888888888894,44,1.3884992987377278
mX,3,4,20,31.688888888888894,72,2.272089761570827
mX,3,4,21,31.688888888888894,42,1.3253856942496491
mX,3,4,22,31.688888888888894,39,1.2307152875175313
mX,3,4,23,31.688888888888894,68,2.14586255259467
mX,3,4,24,31.688888888888894,49,1.546283309957924
mX,3,4,25,31.688888888888894,57,1.7987377279102381
mX,3,4,26,31.688888888888894,33,1.0413744740532958
mX,3,4,27,31.688888888888894,34,1.072931276297335
mX,3,4,28,31.688888888888894,50,1.5778401122019634
mX,3,4,29,31.688888888888894,44,1.3884992987377278
mX,3,4,30,31.688888888888894,36,1.1360448807854135
mX,3,5,1,20,0,0
mX,3,5,2,20,9,0.45
mX,3,5,3,20,0,0
mX,3,5,4,20,9,0.45
mX,3,5,5,20,11,0.55
mX,3,5,6,20,25,1.25
mX,3,5,7,20,0,0
mX,3,5,8,20,0,0
mX,3,5,9,20,1,0.05
mX,3,5,10,20,24,1.2
mX,3,5,11,20,19,0.95
mX,3,5,12,20,0,0
mX,3,5,13,20,36,1.8
mX,3,5,14,20,1,0.05
mX,3,5,15,20,0,0
mX,3,5,16,20,35,1.75
mX,3,5,17,20,25,1.25
mX,3,5,18,20,1,0.05
mX,3,5,19,20,0,0
mX,3,5,20,20,21,1.05
mX,3,5,21,20,0,0
mX,3,5,22,20,0,0
mX,3,5,23,20,0,0
mX,3,5,24,20,19,0.95
mX,3,5,25,20,0,0
