genotype,pop,timepoint,replicate,initial_temp,date,tray,control_ave,survival_drop,survival_drop_normalised
tX,8,3,4,5.2,11.06.2024,B,71.61111111111111,77.77777777777779,1.0861132660977502
tX,8,3,5,5.2,11.06.2024,B,71.61111111111111,80,1.117145073700543
tX,8,3,6,5.2,11.06.2024,D,71.61111111111111,80,1.117145073700543
tX,8,3,7,5.2,11.06.2024,D,71.61111111111111,70,0.9775019394879751
tX,8,3,8,5.2,11.06.2024,D,71.61111111111111,90,1.256788207913111
tX,8,3,9,5.2,11.06.2024,D,71.61111111111111,80,1.117145073700543
tX,8,3,10,5.2,11.06.2024,D,71.61111111111111,100,1.3964313421256787
tX,8,3,11,5.2,11.06.2024,A,71.61111111111111,100,1.3964313421256787
tX,8,3,12,5.2,11.06.2024,A,71.61111111111111,88.88888888888889,1.2412723041117144
tX,8,3,13,5.2,11.06.2024,A,71.61111111111111,100,1.3964313421256787
tX,8,3,14,5.2,11.06.2024,A,71.61111111111111,80,1.117145073700543
tX,8,3,15,5.2,11.06.2024,A,71.61111111111111,90,1.256788207913111
tX,8,3,16,5.2,11.06.2024,D,71.61111111111111,100,1.3964313421256787
tX,8,3,17,5.2,11.06.2024,D,71.61111111111111,77.77777777777779,1.0861132660977502
tX,8,3,18,5.2,11.06.2024,D,71.61111111111111,100,1.3964313421256787
tX,8,3,19,5.2,11.06.2024,D,71.61111111111111,62.5,0.8727695888285493
tX,8,3,20,5.2,11.06.2024,D,71.61111111111111,70,0.9775019394879751
tX,8,3,21,5.2,11.06.2024,A,71.61111111111111,70,0.9775019394879751
tX,8,3,22,5.2,11.06.2024,A,71.61111111111111,100,1.3964313421256787
tX,8,3,23,5.2,11.06.2024,A,71.61111111111111,100,1.3964313421256787
tX,8,3,24,5.2,11.06.2024,A,71.61111111111111,100,1.3964313421256787
tX,8,3,25,5.2,11.06.2024,A,71.61111111111111,70,0.9775019394879751
tX,8,3,26,5.2,11.06.2024,A,71.61111111111111,50,0.6982156710628393
tX,8,3,27,5.2,11.06.2024,A,71.61111111111111,80,1.117145073700543
tX,8,3,28,5.2,11.06.2024,A,71.61111111111111,80,1.117145073700543
tX,8,3,29,5.2,11.06.2024,A,71.61111111111111,60,0.8378588052754072
tX,8,3,30,5.2,11.06.2024,A,71.61111111111111,88.88888888888889,1.2412723041117144
tX,8,4,1,5.3,17.09.2024,C,46.18981481481482,30,0.6494938358223915
tX,8,4,2,5.3,17.09.2024,C,46.18981481481482,50,1.0824897263706525
tX,8,4,3,5.3,17.09.2024,C,46.18981481481482,60,1.298987671644783
tX,8,4,4,5.3,17.09.2024,C,46.18981481481482,80,1.731983562193044
tX,8,4,5,5.3,17.09.2024,C,46.18981481481482,50,1.0824897263706525
tX,8,4,6,5.3,17.09.2024,B,46.18981481481482,30,0.6494938358223915
tX,8,4,7,5.3,17.09.2024,B,46.18981481481482,40,0.865991781096522
tX,8,4,8,5.3,17.09.2024,B,46.18981481481482,20,0.432995890548261
tX,8,4,9,5.3,17.09.2024,B,46.18981481481482,50,1.0824897263706525
tX,8,4,10,5.3,17.09.2024,B,46.18981481481482,30,0.6494938358223915
tX,8,4,11,5.3,17.09.2024,B,46.18981481481482,70,1.5154856169189135
tX,8,4,12,5.3,17.09.2024,B,46.18981481481482,30,0.6494938358223915
tX,8,4,13,5.3,17.09.2024,B,46.18981481481482,40,0.865991781096522
tX,8,4,14,5.3,17.09.2024,B,46.18981481481482,40,0.865991781096522
tX,8,4,15,5.3,17.09.2024,B,46.18981481481482,70,1.5154856169189135
tX,8,4,16,5.3,17.09.2024,C,46.18981481481482,44.44444444444444,0.9622130901072466
tX,8,4,17,5.3,17.09.2024,C,46.18981481481482,50,1.0824897263706525
tX,8,4,18,5.3,17.09.2024,C,46.18981481481482,70,1.5154856169189135
tX,8,4,19,5.3,17.09.2024,C,46.18981481481482,30,0.6494938358223915
tX,8,4,20,5.3,17.09.2024,C,46.18981481481482,70,1.5154856169189135
tX,8,4,21,5.3,17.09.2024,B,46.18981481481482,50,1.0824897263706525
tX,8,4,22,5.3,17.09.2024,B,46.18981481481482,10,0.2164979452741305
tX,8,4,23,5.3,17.09.2024,B,46.18981481481482,40,0.865991781096522
tX,8,4,24,5.3,17.09.2024,B,46.18981481481482,100,2.164979452741305
tX,8,4,25,5.3,17.09.2024,B,46.18981481481482,60,1.298987671644783
tX,8,4,26,5.3,17.09.2024,A,46.18981481481482,50,1.0824897263706525
tX,8,4,27,5.3,17.09.2024,A,46.18981481481482,40,0.865991781096522
tX,8,4,28,5.3,17.09.2024,A,46.18981481481482,80,1.731983562193044
tX,8,4,29,5.3,17.09.2024,A,46.18981481481482,60,1.298987671644783
tX,8,4,30,5.3,17.09.2024,A,46.18981481481482,40,0.865991781096522
tX,8,5,1,NA,04.03.2025,NA,73.26112313612313,88.88888888888889,1.2133159455353766
tX,8,5,2,NA,04.03.2025,NA,73.26112313612313,55.55555555555556,0.7583224659596104
tX,8,5,3,NA,04.03.2025,NA,73.26112313612313,50,0.6824902193636493
tX,8,5,4,NA,04.03.2025,NA,73.26112313612313,90,1.2284823948545687
tX,8,5,5,NA,04.03.2025,NA,73.26112313612313,87.5,1.1943578838863862
tX,8,5,6,NA,04.03.2025,NA,73.26112313612313,80,1.091984350981839
tX,8,5,7,NA,04.03.2025,NA,73.26112313612313,10,0.13649804387272987
tX,8,5,8,NA,04.03.2025,NA,73.26112313612313,80,1.091984350981839
tX,8,5,9,NA,04.03.2025,NA,73.26112313612313,88.88888888888889,1.2133159455353766
tX,8,5,10,NA,04.03.2025,NA,73.26112313612313,70,0.9554863071091091
tX,8,5,11,NA,04.03.2025,NA,73.26112313612313,66.66666666666666,0.9099869591515323
tX,8,5,12,NA,04.03.2025,NA,73.26112313612313,55.55555555555556,0.7583224659596104
tX,8,5,13,NA,04.03.2025,NA,73.26112313612313,50,0.6824902193636493
