genotype,pop,timepoint,initial_temp,date,control_ave,survical_drop_sd,survical_drop,survival_drop_normalised_sd,survival_drop_normalised
mX,2,5,NA,04.03.2025,73.26112313612313,16.2829525291936,43.93518518518518,0.22225911687074457,0.5997066834963919
mX,2,6,6.5,29.07.2025,85.82407407407408,11.278417902046742,86.03703703703704,0.13141321970234637,1.0024813895781637
mX,3,1,4.8,7.11.2023,20.20713083213083,18.1987908294568,28.583333333333332,0.9006123125861779,1.4145171608372884
mX,3,2,4.9,27.02.2024,57.151455026455025,14.612151481202451,59.03703703703704,0.25567418142615234,1.0329927210026268
mX,3,2,NA,27.02.2024,57.151455026455025,14.612151481202451,59.03703703703704,0.25567418142615234,1.0329927210026268
mX,3,3,5.2,11.06.2024,71.61111111111111,15.36273545161359,75.62037037037037,0.21453005285418514,1.055986552883372
mX,3,4,5.3,17.09.2024,46.18981481481482,14.249722172329752,50.23100907029478,0.30850355710366106,1.0874910252765033
mX,3,5,NA,04.03.2025,73.26112313612313,20.97612622565599,54.5,0.28632001978295113,0.7439143391063778
mX,3,6,6.5,29.07.2025,85.82407407407408,10.755747652464809,86.14814814814815,0.1253232006113064,1.003776027618945
mX,4,1,4.8,7.11.2023,20.20713083213083,15.611071582427078,43.786916786916784,0.7725526059149537,2.1669042057812757
mX,4,2,4.9,27.02.2024,57.151455026455025,17.564259950254318,66.39682539682539,0.3073283076016864,1.1617696411419578
mX,4,3,5.2,11.06.2024,71.61111111111111,14.45091772132503,73.13888888888889,0.20179714428537662,1.02133436772692
mX,4,4,5.3,17.09.2024,46.18981481481482,19.91231710522248,47.75,0.4310975738927589,1.0337776886839731
mX,4,5,NA,04.03.2025,73.26112313612313,18.956063600939313,44.76190476190476,0.2587465601055272,0.6109912440017432
mX,4,6,6.5,29.07.2025,85.82407407407408,15.999015508238784,78.77777777777777,0.18641640682811397,0.9178983709137987
mX,5,1,4.8,7.11.2023,20.20713083213083,13.975608647555923,22.95286195286195,0.6916176652517967,1.1358793162444027
mX,5,2,4.9,27.02.2024,57.151455026455025,18.210328209824404,68.71825396825396,0.31863280123655585,1.2023885295036627
mX,5,3,5.2,11.06.2024,71.61111111111111,14.638279619224479,69.73856209150327,0.2044135245508461,0.9738511385935289
mX,5,4,5.3,17.09.2024,46.18981481481482,16.64861078966429,57.67243867243867,0.3604390027631038,1.2485964471531275
mX,5,5,NA,04.03.2025,73.26112313612313,20.30101321026655,64.28703703703704,0.27710485918358324,0.8775054801929291
mX,5,6,6.5,29.07.2025,85.82407407407408,11.934973523988466,81.11111111111111,0.13906323665883638,0.9450857697702018
tX,6,1,4.8,7.11.2023,20.20713083213083,14.369576872325277,23.49206349206349,0.7111141602288531,1.1625630420875672
tX,6,2,4.9,27.02.2024,57.151455026455025,13.669470504314086,67.43518518518519,0.2391797461322127,1.1799382037424924
tX,6,3,5.2,11.06.2024,71.61111111111111,12.452207485597395,86.33333333333333,0.1738865281154019,1.2055857253685027
tX,6,4,5.3,17.09.2024,46.18981481481482,15.011052642410991,72.87037037037037,0.3249862053483787,1.5776285456550065
tX,6,5,NA,04.03.2025,73.26112313612313,18.886703070133034,58.06481481481482,0.25779980242782413,0.7925733640054528
tX,6,6,6.5,29.07.2025,85.82407407407408,14.720445025170005,75.21560846560847,0.17151883296130763,0.8763928918206618
tX,7,1,4.8,7.11.2023,20.20713083213083,11.249257771983078,18.851495726495727,0.556697428518448,0.9329130336762336
tX,7,2,4.9,27.02.2024,57.151455026455025,16.18755166436587,63.41931216931217,0.28323953706642746,1.1096709985766031
tX,7,3,5.2,11.06.2024,71.61111111111111,9.197160857812197,88.18518518518519,0.12843203680420442,1.2314455650374967
tX,7,4,5.3,17.09.2024,46.18981481481482,16.303667205681844,53.25925925925926,0.3529710450463344,1.153052019645184
tX,7,5,NA,04.03.2025,73.26112313612313,13.908874509587639,39.666666666666664,0.1898534163029987,0.5414422406951618
tX,7,6,6.5,29.07.2025,85.82407407407408,11.399595472048631,81.97222222222223,0.13282514952867105,0.9551192145862553
tX,8,1,4.8,7.11.2023,20.20713083213083,13.147070987026622,16.804713804713806,0.6506154236464788,0.8316229525268907
tX,8,2,4.9,27.02.2024,57.151455026455025,14.382184811782484,54.68518518518518,0.25165037014587066,0.9568467707405136
tX,8,3,5.2,11.06.2024,71.61111111111111,14.416113905791061,83.86111111111111,0.20131113289700472,1.1710628394103957
tX,8,4,5.3,17.09.2024,46.18981481481482,19.75958811687638,49.48148148148148,0.4277910226766861,1.0712639069860679
tX,8,5,NA,04.03.2025,73.26112313612313,19.94361330833137,64.58333333333333,0.2722264204341375,0.881549866678047
tX,8,6,6.5,29.07.2025,85.82407407407408,16.889275387121533,74.48148148148148,0.19678948557655904,0.8678390333369295
tX,9,1,4.8,7.11.2023,20.20713083213083,12.97907683013571,18.425925925925927,0.6423018160251637,0.9118526563220615
tX,9,2,4.9,27.02.2024,57.151455026455025,21.470827610342663,53.18121693121693,0.3756829568101803,0.9305312858019048
tX,9,3,5.2,11.06.2024,71.61111111111111,17.092474633228356,77.4074074074074,0.2386846729232819,1.0809412981639512
tX,9,4,5.3,17.09.2024,46.18981481481482,17.689154904075476,62.03703703703704,0.3829665690368149,1.3430891049413651
tX,9,5,NA,04.03.2025,73.26112313612313,13.2222383206058,53.44444444444444,0.18048096663817415,0.7295062122531452
tX,9,6,6.5,29.07.2025,85.82407407407408,17.651081605681643,77.32407407407408,0.20566585536882273,0.900960189880246
tX,10,1,4.8,7.11.2023,20.20713083213083,13.376049073016528,23.555555555555557,0.6619469722909707,1.1657051043634796
tX,10,2,4.9,27.02.2024,57.151455026455025,19.826881299899842,52.31481481481482,0.3469182244042975,0.9153715297466817
tX,10,3,5.2,11.06.2024,71.61111111111111,11.174245917188097,86.72222222222223,0.15604067223381354,1.2110162916989915
tX,10,4,5.3,17.09.2024,46.18981481481482,21.67158841502519,65.04629629629629,0.46918543626796044,1.4082389495840433
tX,10,5,NA,04.03.2025,73.26112313612313,19.77297043257648,56.583333333333336,0.26989717856000145,0.7723514315798632
tX,10,6,6.5,29.07.2025,85.82407407407408,12.721208557162235,59.37037037037037,0.14822424470531032,0.6917682597907002
tT,14,1,4.8,7.11.2023,20.20713083213083,14.191531959557144,22.596801346801346,0.7023031660185799,1.1182587738220988
tT,14,2,4.9,27.02.2024,57.151455026455025,14.105538868230509,58.09259259259259,0.246809794461071,1.016467429669147
tT,14,3,5.2,11.06.2024,71.61111111111111,17.952881267154194,74.03703703703704,0.25069966082915074,1.033876389966382
tT,14,4,5.3,17.09.2024,46.18981481481482,19.624302724288135,53.62037037037037,0.4248621217245903,1.1608700010023052
tT,14,5,NA,04.03.2025,73.26112313612313,10.558912528141871,80.11748436748437,0.14412709055146258,1.093587989616563
tT,14,6,6.5,29.07.2025,85.82407407407408,9.057586605943456,91.68518518518519,0.1055366655995138,1.068292156651203
